claim,rating,source,date,evidence,category,url,cleaned_claim,label,text_length,word_count,caps_ratio,exclamation_count
The human body has 206 bones,TRUE,Reuters,2025-09-16,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/6801,the human body has 206 bones,1,28,6,0.03571428571428571,0
Climate change is a hoax,FALSE,AP News,2025-03-16,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/9477,climate change is a hoax,0,24,5,0.041666666666666664,0
Mount Everest is the highest peak on Earth,TRUE,FactCheck.org,2024-11-24,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/1242,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
Humans need oxygen to breathe,TRUE,AP News,2025-03-24,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/3107,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Artificial intelligence might replace some jobs,UNCLEAR,FactCheck.org,2025-07-11,Multiple sources discuss this claim.,Health,https://example.com/fact-check/9320,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Humans only use 10% of their brains,FALSE,AP News,2025-06-13,Multiple sources confirm this claim.,Science,https://example.com/fact-check/1508,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
Some experts predict market volatility,UNCLEAR,FactCheck.org,2024-11-03,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/1146,some experts predict market volatility,2,38,5,0.02631578947368421,0
Vaccines cause autism,FALSE,Science Daily,2025-08-14,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/4353,vaccines cause autism,0,21,3,0.047619047619047616,0
New technology could revolutionize transportation,UNCLEAR,WHO,2025-02-12,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/2003,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Humans only use 10% of their brains,FALSE,WHO,2025-07-20,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/4984,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
The Great Wall of China is visible from space,FALSE,CDC,2024-11-08,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/2861,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
Social media may affect mental health,UNCLEAR,WHO,2025-06-10,Multiple sources dispute this claim.,Science,https://example.com/fact-check/6526,social media may affect mental health,2,37,6,0.02702702702702703,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-08-19,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/5162,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
All GMO foods are dangerous,FALSE,Reuters,2025-01-28,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/8837,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
DNA contains genetic information,TRUE,Science Daily,2024-12-14,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/6464,dna contains genetic information,1,32,4,0.09375,0
Certain diets may help with weight loss,UNCLEAR,WHO,2025-03-28,Multiple sources dispute this claim.,Science,https://example.com/fact-check/3737,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
Some experts predict market volatility,UNCLEAR,Nature,2025-06-21,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/7698,some experts predict market volatility,2,38,5,0.02631578947368421,0
Humans need oxygen to breathe,TRUE,WHO,2025-07-31,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/8185,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Climate change is a hoax,FALSE,AP News,2024-10-03,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/6211,climate change is a hoax,0,24,5,0.041666666666666664,0
Social media may affect mental health,UNCLEAR,Reuters,2024-12-24,Multiple sources dispute this claim.,Science,https://example.com/fact-check/5776,social media may affect mental health,2,37,6,0.02702702702702703,0
The Great Wall of China is visible from space,FALSE,CDC,2025-02-28,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/5537,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
Some studies suggest meditation can reduce stress,UNCLEAR,FactCheck.org,2025-01-20,Multiple sources dispute this claim.,Health,https://example.com/fact-check/2110,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-08-21,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/3855,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Artificial intelligence might replace some jobs,UNCLEAR,WHO,2025-06-05,Multiple sources discuss this claim.,Science,https://example.com/fact-check/1787,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Evolution is just a theory without evidence,FALSE,Nature,2025-02-08,Multiple sources confirm this claim.,Health,https://example.com/fact-check/9586,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
New technology could revolutionize transportation,UNCLEAR,Science Daily,2025-07-22,Multiple sources confirm this claim.,Health,https://example.com/fact-check/7662,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
DNA contains genetic information,TRUE,WHO,2025-04-22,Multiple sources dispute this claim.,Health,https://example.com/fact-check/1507,dna contains genetic information,1,32,4,0.09375,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-03-14,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/4576,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
New technology could revolutionize transportation,UNCLEAR,AP News,2025-07-08,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/1291,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Humans only use 10% of their brains,FALSE,FactCheck.org,2024-11-07,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/9064,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
The Earth orbits around the Sun,TRUE,CDC,2025-06-18,Multiple sources dispute this claim.,Health,https://example.com/fact-check/7642,the earth orbits around the sun,1,31,6,0.0967741935483871,0
The Great Wall of China is visible from space,FALSE,FactCheck.org,2025-01-11,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/6244,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
The Moon orbits around the Earth,TRUE,CDC,2025-02-15,Multiple sources discuss this claim.,Health,https://example.com/fact-check/4691,the moon orbits around the earth,1,32,6,0.09375,0
Humans need oxygen to breathe,TRUE,Science Daily,2025-05-25,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/4497,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
All GMO foods are dangerous,FALSE,Reuters,2024-10-13,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/9692,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
Alternative energy sources might become dominant,UNCLEAR,Scientific American,2024-12-10,Multiple sources discuss this claim.,Health,https://example.com/fact-check/6211,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Coffee might help prevent certain diseases,UNCLEAR,FactCheck.org,2025-07-22,Multiple sources confirm this claim.,Science,https://example.com/fact-check/8663,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
The Earth orbits around the Sun,TRUE,Reuters,2024-12-18,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/8143,the earth orbits around the sun,1,31,6,0.0967741935483871,0
Diamonds are made of carbon,TRUE,AP News,2025-02-07,Multiple sources discuss this claim.,Health,https://example.com/fact-check/6910,diamonds are made of carbon,1,27,5,0.037037037037037035,0
New technology could revolutionize transportation,UNCLEAR,Nature,2025-05-21,Multiple sources dispute this claim.,Science,https://example.com/fact-check/8941,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Some experts predict market volatility,UNCLEAR,AP News,2024-11-30,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/5019,some experts predict market volatility,2,38,5,0.02631578947368421,0
Alternative energy sources might become dominant,UNCLEAR,Scientific American,2024-12-19,Multiple sources dispute this claim.,Health,https://example.com/fact-check/2899,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
The Moon orbits around the Earth,TRUE,Nature,2025-02-25,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/1244,the moon orbits around the earth,1,32,6,0.09375,0
Humans need oxygen to breathe,TRUE,AP News,2025-04-04,Multiple sources discuss this claim.,Science,https://example.com/fact-check/5697,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
The Moon landing was faked,FALSE,WHO,2025-09-07,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/4793,the moon landing was faked,0,26,5,0.07692307692307693,0
Evolution is just a theory without evidence,FALSE,WHO,2025-01-02,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/5990,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
Remote work could increase productivity,UNCLEAR,CDC,2025-04-27,Multiple sources discuss this claim.,Health,https://example.com/fact-check/8141,remote work could increase productivity,2,39,5,0.02564102564102564,0
The Moon orbits around the Earth,TRUE,CDC,2025-04-05,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/8197,the moon orbits around the earth,1,32,6,0.09375,0
Some experts predict market volatility,UNCLEAR,CDC,2025-06-21,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/1781,some experts predict market volatility,2,38,5,0.02631578947368421,0
Climate change is a hoax,FALSE,Scientific American,2025-06-13,Multiple sources confirm this claim.,Science,https://example.com/fact-check/3007,climate change is a hoax,0,24,5,0.041666666666666664,0
COVID-19 is no worse than the common cold,FALSE,WHO,2025-07-21,Multiple sources dispute this claim.,Science,https://example.com/fact-check/6174,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
Remote work could increase productivity,UNCLEAR,Scientific American,2024-12-19,Multiple sources discuss this claim.,Health,https://example.com/fact-check/7535,remote work could increase productivity,2,39,5,0.02564102564102564,0
Artificial intelligence might replace some jobs,UNCLEAR,WHO,2025-04-21,Multiple sources discuss this claim.,Health,https://example.com/fact-check/4188,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Economic growth may improve next year,UNCLEAR,AP News,2024-09-22,Multiple sources confirm this claim.,Science,https://example.com/fact-check/2346,economic growth may improve next year,2,37,6,0.02702702702702703,0
Light travels faster than sound,TRUE,Scientific American,2025-06-26,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/5197,light travels faster than sound,1,31,5,0.03225806451612903,0
Social media may affect mental health,UNCLEAR,CDC,2024-12-18,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/6373,social media may affect mental health,2,37,6,0.02702702702702703,0
COVID-19 is no worse than the common cold,FALSE,Reuters,2025-05-09,Multiple sources discuss this claim.,Science,https://example.com/fact-check/4558,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
Coffee might help prevent certain diseases,UNCLEAR,Science Daily,2025-01-06,Multiple sources dispute this claim.,Health,https://example.com/fact-check/5836,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
Humans need oxygen to breathe,TRUE,Nature,2024-12-19,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/3553,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
COVID-19 is no worse than the common cold,FALSE,Science Daily,2025-09-19,Multiple sources discuss this claim.,Science,https://example.com/fact-check/6373,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
The human body has 206 bones,TRUE,Reuters,2025-06-11,Multiple sources discuss this claim.,Science,https://example.com/fact-check/8069,the human body has 206 bones,1,28,6,0.03571428571428571,0
Remote work could increase productivity,UNCLEAR,Nature,2025-03-13,Multiple sources discuss this claim.,Health,https://example.com/fact-check/5143,remote work could increase productivity,2,39,5,0.02564102564102564,0
Certain diets may help with weight loss,UNCLEAR,Scientific American,2025-02-08,Multiple sources dispute this claim.,Health,https://example.com/fact-check/9911,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
New technology could revolutionize transportation,UNCLEAR,Scientific American,2025-09-03,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/2676,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
The Great Wall of China is visible from space,FALSE,Scientific American,2025-03-10,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/5379,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
Plants produce oxygen through photosynthesis,TRUE,FactCheck.org,2025-07-21,Multiple sources discuss this claim.,Health,https://example.com/fact-check/2497,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
